"FirstName","LastName","UserName","Groups","Department","Province","Password"
"Thor","Odinson","thor","Domain Admins","Avenger","Asgard","GodofLightning1!"
"Loki"," ","loki","LocalAdmins","Villain","Asgard","Mischief$"
"Carol","Danvers","cmarvel","Users","Avenger","Earth","HateKree!"
"T'Challa"," ","panther","LocalAdmins","Avenger","Earth","WakandaForever!"
"Shuri","","shuri","Users","Wakanda","Earth","WakandaPrince$$"
"Peter","Parker","spidy","LocalAdmins","Avenger","Earth","Web$hooter"
"Tony","Stark","ironman","LocalAdmins","Avenger","Earth","$acrificed1T"
"Pepper","Pots","pots","Users","Civilian","Earth","MrsIronman$1"
"Bruce","Banner","hulk","Users","Avenger","Earth","$mashEverything!"
"Clint","Barton","hawkeye","Users","Avenger","Earth","EagleEye1!"
"Thanos"," ","thanos","Domain Admins","Villain","Titan","InfinityStone$"
"Vision"," ","vision","Users","Avenger","Computer/Mind-Stone/Earth","Mind$tone"
"Yon-Rogg"," ","rogg","Users","Villain","Kree","BadGuy101"
"Rocket","Racoon","rocket","Users","Guardian of Galaxy","Halfworld","NotaRat!"
"Peter","Quill","starlord","Users","Guardian of Galaxy","Earth","Blue$ky!!72"
"Groot","Groot","groot","Users","Guardian of Galaxy","PlanetX","IamGr00t!"
"Yondu","Udonta","yondu","Users","Guardian of Galaxy","Earth-691","WhistleArrow!"
"Drax","Destroyer","drax","Users","Guardian of Galaxy","Earth","KillThano$"
"Gamora","Titan","gamora","Users","Guardian of Galaxy","Zehoberei","Soul$tone"
"Nebula"," ","nebula","Users","Guardian of Galaxy","Luphomoids","BadtoGood1"
"Corvus","Glaive","corvus","Users","Black Order","Angargal","$killedWarror"
"Proxima","Midnight","proxima","Users","Black Order","Angargal","EnergySpear!"
"Cull","Obsidian","cull","Users","Black Order","Angargal","$trongCreature"
"Ebony","Maw","ebony","Users","Black Order","Angargal","VoldemortWannaBe!"
"Steven","Strange","drstrange","Users","Avenger","Earth","Time$tone"
"Bucky","Barnes","wintersolider","Users","Avenger","Earth","MetalArm1!"
"Sam","Wilson","falcon","Users","Avenger","Earth","NewCap!"
"Steve","Rogers","captain","Users","Avenger","Earth","StarsandStripes!"
"Wanda","Maximoff","witch","Users","Avenger","Earth","Vision$GF"
"Nick","Fury","fury","Users","Shield","Earth","OneEye!"
"Scott","Lang","antman","Users","Avenger","Earth","TinyDude!"
"Hope","Pym","wasp","Users","Avenger","Earth","TinyGril!"
"James","Rhodes","warmachine","Users","Avenger","Earth","BigGunRox!"
"Valkyrie"," ","valkyrie","Users","Valkyrie","Asgard","ChooseroftheSlain!"
"Happy","Hogan","hogan","Users","Civilian","Earth","TonysAssistant!"
"Odin"," ","odin","Users","King","Asgard","KingofAsgard!"
"Ultron"," ","ultron","Users","Villain","Computer","WhatamI?"
"Ronan","Accuser","ronan","Users","Villain","Hala","KreeEmpire$"
"Charles","Xavier","professorx","Users","X-Men","Earth","Telepath$"
"Scott","Summers","cyclops","Users","X-Men","Earth","Lazer$aretheway"
"Robert","Drake","iceman","Users","X-Men","Earth","IceIceBaby1"
"Henry","McCoy","beast","Users","X-Men","Earth","ImaBea$t"
"Logan","Howlett","wolverine","Users","X-Men","Earth","MetalClaw$"
"Piotr","Rasputin","colossus","Users","X-Men","Earth","MetalMan!"
"Jean","Grey","pheonix","Users","X-Men","Earth","PhoenixForce!"
"Max","Eisenhardt","magneto","Users","Villain","Earth","MetalControl!"
"Brianna","Hildebrands","warhead","Users","X-Men","Earth","TennageW@rH3ad"
"Wade","Wilson","deadpool","Users","Independent","Earth","NotXmen!"
"Natasha","Romanoff","widow","Users","Avenger","Earth","Hulk$mash"
"Natahan","Summers","cable","Users","X-Force","Future","MetalControl!"
